Security Name,Cusip,Ticker,Bet Size Ind,Active Bet In/Out Indicator,Total Relative Contribution - Actual,Actual Relative Average Weight,MSCI/S&P Sector
REALPAGE INC,75606N109,RP,OVWT0.0TO0.5,OUTBM,0.19412387,0.05759788,INFORMATION TECHNOLOGY
CONAGRA BRANDS INC,205887102,CAG,UNWT-0.5TO0.0,NEGBET,0.18835813,-0.08329483,ONSUMER STAPLES
MACERICH COMPANY,554382101,MAC,UNWT-0.5TO0.0,NEGBET,0.18215995,-0.03831004,REAL ESTATE
FIRST SOLAR INC,336433107,FSLR,UNWT-0.5TO0.0,NEGBET,0.17725944,-0.00722317,INFORMATION TECHNOLOGY
ARAMARK,03852U106,ARMK,OVWT0.0TO0.5,OUTBM,0.17575826,0.0489723,CONSUMER DISCRETIONARY
UNITED TECHNOLOGIES CORP,913017109,UTX,UNWT-0.5TO0.0,NEGBET,0.1742625,-0.41902391,INDUSTRIALS
CIMAREX ENERGY CO,171798101,XEC,UNWT-0.5TO0.0,INBM-,0.17347844,-0.04691625,ENERGY
APARTMENT INV & MGMT CO A REIT,03748R101,AIV,UNWT-0.5TO0.0,NEGBET,0.17296355,-0.03437313,REAL ESTATE
COLGATE-PALMOLIVE CO,194162103,CL,OVWT0.5TO1.0,INBM+,0.17878385,0.99240861,ONSUMER STAPLES
UNDER ARMOUR INC,904311,UAA,UNWT-0.5TO0.0,INBM-,0.17155545,-0.02720392,CONSUMER DISCRETIONARY
CME GROUP INC CL A,12572Q105,CME,UNWT-0.5TO0.0,INBM-,0.16812697,-0.12865331,FINANCIALS
FORTUNE BRANDS HOME & SEC INC,34964C106,FBHS,OVWT0.0TO0.5,INBM+,0.16371709,0.03242121,INDUSTRIALS
PNC FINANCIAL SERVICES GRP INC,693475105,PNC,UNWT-0.5TO0.0,INBM-,0.17031262,-0.05336074,FINANCIALS
TRAVELERS COMPANIES INC,89417E109,TRV,UNWT-0.5TO0.0,NEGBET,0.16169713,-0.16959796,FINANCIALS
3M CO,88579Y101,MMM,OVWT0.0TO0.5,INBM+,0.1528365,0.06050481,INDUSTRIALS
PEOPLES UNITED FINANCIAL INC,712704105,PBCT,UNWT-0.5TO0.0,NEGBET,0.15959046,-0.02879222,FINANCIALS
WORKDAY INC CL A,98138H101,WDAY,OVWT0.5TO1.0,OUTBM,0.16023445,0.52780704,INFORMATION TECHNOLOGY
COTY INC CL A,222070203,COTY,UNWT-0.5TO0.0,NEGBET,0.15818532,-0.04347043,ONSUMER STAPLES
EBAY INC,278642103,EBAY,UNWT-0.5TO0.0,INBM-,0.15663176,-0.12660272,INFORMATION TECHNOLOGY
WHOLE FOODS MARKET INC,966837106,WFM,UNWT-0.5TO0.0,NEGBET,0.15488746,-0.0461057,ONSUMER STAPLES
AMERIPRISE FINANCIAL INC,03076C106,AMP,UNWT-0.5TO0.0,NEGBET,0.15295936,-0.10024896,FINANCIALS
MASCO CORPORATION,574599106,MAS,OVWT0.0TO0.5,INBM+,0.15268967,0.30708307,INDUSTRIALS
ROPER TECHNOLOGIES INC,776696106,ROP,UNWT-0.5TO0.0,NEGBET,0.14941359,-0.10494722,INDUSTRIALS
BANK CENTRAL ASIA,07899J222,*BCA,OVWT0.0TO0.5,OUTBM,0.14725433,0.02125984,FINANCIALS
VERISK ANALYTICS INC,92345Y106,VRSK,UNWT-0.5TO0.0,NEGBET,0.14471519,-0.06180013,INDUSTRIALS
START TODAY CO LTD,17G99A221,*STTO,OVWT0.0TO0.5,OUTBM,0.14214493,0.02268029,CONSUMER DISCRETIONARY
MONSANTO CO,61166W101,MON,UNWT-0.5TO0.0,INBM-,0.14213946,-0.21147963,MATERIALS
KANSAS CITY SOUTHERN,485170302,KSU,UNWT-0.5TO0.0,NEGBET,0.14148775,-0.04549091,INDUSTRIALS
ALLSTATE CORPORATION,020002101,ALL,UNWT-0.5TO0.0,NEGBET,0.13864235,-0.14759922,FINANCIALS
CLOROX CO,189054109,CLX,UNWT-0.5TO0.0,NEGBET,0.1360638,-0.086708,ONSUMER STAPLES
L'OREAL SA (PRIME FID 2013),502117948,*OREAL.E,OVWT0.0TO0.5,OUTBM,0.13403104,0.04200271,ONSUMER STAPLES
MULESOFT INC CL A,74R99L226,MULE,OVWT0.0TO0.5,OUTBM,0.13300957,0.00162613,INFORMATION TECHNOLOGY
ASOS PLC,06N997223,*ASOS,OVWT0.0TO0.5,OUTBM,0.13322938,0.01136526,CONSUMER DISCRETIONARY
TYSON FOODS INC CL A,902494103,TSN,UNWT-0.5TO0.0,NEGBET,0.13340639,-0.08879878,ONSUMER STAPLES
TRACTOR SUPPLY CO.,892356106,TSCO,UNWT-0.5TO0.0,NEGBET,0.13168012,-0.04555322,CONSUMER DISCRETIONARY
UNITED RENTALS INC,911363109,URI,UNWT-0.5TO0.0,NEGBET,0.13045008,-0.05162226,INDUSTRIALS
CBRE GROUP INC - CL A,12504L109,CBG,UNWT-0.5TO0.0,NEGBET,0.13024149,-0.05242513,REAL ESTATE
FIRSTENERGY CORP,337932107,FE,UNWT-0.5TO0.0,NEGBET,0.12974447,-0.06680135,UTILITIES
FRANKLIN RESOURCES INC,354613101,BEN,UNWT-0.5TO0.0,NEGBET,0.1289791,-0.07192917,FINANCIALS
ROYAL CARIBBEAN CRUISES LTD,780153920,RCL,OVWT0.0TO0.5,INBM+,0.12796785,0.05206498,CONSUMER DISCRETIONARY
IPG PHOTONICS CORP,44980X109,IPGP,OVWT0.0TO0.5,OUTBM,0.12743025,0.07118955,INFORMATION TECHNOLOGY
JELD-WEN HOLDING INC,BDD733000,JELD,OVWT0.0TO0.5,OUTBM,0.12497805,0.02504604,INDUSTRIALS
CINTAS CORP,172908105,CTAS,OVWT0.0TO0.5,INBM+,0.1227181,0.01747563,INDUSTRIALS
L3 TECHNOLOGIES INC,BCI616000,LLL,UNWT-0.5TO0.0,NEGBET,0.12473492,-0.06416404,INDUSTRIALS
PPG INDUSTRIES INC,693506107,PPG,OVWT0.0TO0.5,INBM+,0.12187051,0.05859642,MATERIALS
COPART INC,217204106,CPRT,OVWT0.0TO0.5,OUTBM,0.12285997,0.0272399,INDUSTRIALS
OAKTREE CAP GROUP LLC - CL A,674001201,OAK,OVWT0.0TO0.5,OUTBM,0.12257067,0.09930866,FINANCIALS
XILINX INC,983919101,XLNX,UNWT-0.5TO0.0,NEGBET,0.12266655,-0.07291457,INFORMATION TECHNOLOGY
DENTSPLY SIRONA INC,249030107,XRAY,UNWT-0.5TO0.0,NEGBET,0.12211731,-0.07140504,HEALTH CARE
HARTFORD FINL SVCS GROUP INC,416515104,HIG,UNWT-0.5TO0.0,NEGBET,0.12077561,-0.08980665,FINANCIALS
MARTIN MARIETTA MATERIALS INC,573284106,MLM,OVWT0.0TO0.5,INBM+,0.11337844,0.19951862,MATERIALS
AUTONATION INC,05329W102,AN,UNWT-0.5TO0.0,NEGBET,0.11938818,-0.01431396,CONSUMER DISCRETIONARY
DAVITA INC,23918K108,DVA,UNWT-0.5TO0.0,NEGBET,0.11929834,-0.05254578,HEALTH CARE
SCRIPPS NETWORK INTER CL A,811065101,SNI,UNWT-0.5TO0.0,NEGBET,0.11761984,-0.03698496,CONSUMER DISCRETIONARY
AES CORP,00130H105,AES,UNWT-0.5TO0.0,NEGBET,0.1148966,-0.03650217,UTILITIES
CIRRUS LOGIC INC,172755100,CRUS,OVWT0.0TO0.5,OUTBM,0.11400955,0.01004941,INFORMATION TECHNOLOGY
SHERWIN WILLIAMS CO,824348106,SHW,OVWT0.0TO0.5,INBM+,0.11322178,0.26509128,MATERIALS
URBAN OUTFITTERS,917047102,URBN,UNWT-0.5TO0.0,NEGBET,0.11333575,-0.00613257,CONSUMER DISCRETIONARY
RECRUIT HOLDINGS CO LTD,72M99W221,*RHCL,OVWT0.0TO0.5,OUTBM,0.11273495,0.02317688,INDUSTRIALS
ACCENTURE PLC CL A,35A993225,ACN,UNWT-0.5TO0.0,INBM-,0.11934782,-0.0467217,INFORMATION TECHNOLOGY
AFFILIATED MANAGERS GRP INC,008252108,AMG,UNWT-0.5TO0.0,NEGBET,0.11135924,-0.04486465,FINANCIALS
BAKER HUGHES INC,057224107,BHI,UNWT-0.5TO0.0,NEGBET,0.10767678,-0.12297626,ENERGY
SIRIUS XM HLDGS INC,82968B103,SIRI,OVWT0.0TO0.5,OUTBM,0.10665751,0.10146684,CONSUMER DISCRETIONARY
NUCOR CORP,670346105,NUE,UNWT-0.5TO0.0,INBM-,0.10624384,-0.01991221,MATERIALS
LOGITECH INT SA(USA),54199J239,LOGI,OVWT0.0TO0.5,OUTBM,0.10228038,0.01020221,INFORMATION TECHNOLOGY
HELMERICH & PAYNE INC,423452101,HP,UNWT-0.5TO0.0,NEGBET,0.10093433,-0.03589991,ENERGY
CHECK POINT SOFTWARE TECHS LTD,16299A228,CHKP,OVWT0.0TO0.5,OUTBM,0.10033387,0.02761584,INFORMATION TECHNOLOGY
QUALCOMM INC,747525103,QCOM,OVWT0.0TO0.5,INBM+,0.10174561,0.08905329,INFORMATION TECHNOLOGY
EMERSON ELECTRIC CO,291011104,EMR,UNWT-0.5TO0.0,NEGBET,0.09942403,-0.18900883,INDUSTRIALS
ENDO INTERNATIONAL PLC,66W99D224,ENDP,UNWT-0.5TO0.0,NEGBET,0.09870877,-0.00057883,HEALTH CARE
RAYTHEON CO,755111507,RTN,UNWT-0.5TO0.0,INBM-,0.09900566,-0.10519,INDUSTRIALS
ASSURANT INC,04621X108,AIZ,UNWT-0.5TO0.0,NEGBET,0.09581604,-0.02715474,FINANCIALS
LEUCADIA NATIONAL CORP,527288104,LUK,UNWT-0.5TO0.0,NEGBET,0.09482673,-0.04206417,FINANCIALS
ATLASSIAN CORP PLC CLS A,80S99Y224,TEAM,OVWT0.0TO0.5,OUTBM,0.09383843,0.01482481,INFORMATION TECHNOLOGY
CA INC,12673P105,CA,UNWT-0.5TO0.0,NEGBET,0.09150376,-0.04963965,INFORMATION TECHNOLOGY
MARATHON OIL CORP,565849106,MRO,UNWT-0.5TO0.0,NEGBET,0.0908154,-0.06496887,ENERGY
WIX.COM LTD,62T99L229,WIX,OVWT0.0TO0.5,OUTBM,0.08816412,0.00849963,INFORMATION TECHNOLOGY
HORMEL FOODS CORP,440452100,HRL,UNWT-0.5TO0.0,NEGBET,0.08816045,-0.04617757,ONSUMER STAPLES
PARKER HANNIFIN CORP,701094104,PH,OVWT0.0TO0.5,INBM+,0.08317965,0.02183464,INDUSTRIALS
SMITH (AO) CORP,831865209,AOS,OVWT0.0TO0.5,OUTBM,0.08463661,0.05777857,INDUSTRIALS
REGENCY CENTERS CORP REIT,758849103,REG,UNWT-0.5TO0.0,NEGBET,0.08275932,-0.04547083,REAL ESTATE
LIBERTY BROADBAND CORP,530307,LBRDA,OVWT0.0TO0.5,OUTBM,0.08128396,0.13564616,CONSUMER DISCRETIONARY
NASDAQ INC,631103108,NDAQ,UNWT-0.5TO0.0,NEGBET,0.08119852,-0.03965043,FINANCIALS
ARISTOCRAT LEISURE LTD,04099F225,*ALL,OVWT0.0TO0.5,OUTBM,0.08054126,0.0106842,CONSUMER DISCRETIONARY
TOTAL SYS SVCS INC,891906109,TSS,UNWT-0.5TO0.0,NEGBET,0.08064926,-0.0435637,INFORMATION TECHNOLOGY
INDITEX SA,53199U228,*INTX,OVWT0.0TO0.5,OUTBM,0.08027395,0.00868933,CONSUMER DISCRETIONARY
REGENERON PHARMACEUTICALS INC,75886F107,REGN,OVWT0.0TO0.5,INBM+,0.07848148,0.04915897,HEALTH CARE
NAVIENT CORP,63938C108,NAVI,UNWT-0.5TO0.0,NEGBET,0.07578163,-0.02133013,FINANCIALS
FAIRFAX FINL HLDGS LTD SUB VTG,303901102,FFH.TO,OVWT0.0TO0.5,OUTBM,0.07641382,0.07962212,FINANCIALS
DOLLARAMA INC,25675T107,DOL.TO,OVWT0.0TO0.5,OUTBM,0.07449987,0.00970751,CONSUMER DISCRETIONARY
EQUITY RESIDENTIAL REIT,29476L107,EQR,UNWT-0.5TO0.0,NEGBET,0.07503752,-0.11298961,REAL ESTATE
CH ROBINSON WORLDWIDE INC,12541W209,CHRW,UNWT-0.5TO0.0,INBM-,0.07317385,-0.02099122,INDUSTRIALS
CBOE HOLDINGS INC,12503M108,CBOE,OVWT0.0TO0.5,INBM+,0.07050367,0.01744454,FINANCIALS
JACOBS ENGINEERING GROUP INC,469814107,JEC,UNWT-0.5TO0.0,NEGBET,0.07153476,-0.03308796,INDUSTRIALS
GENERAL DYNAMICS CORPORATION,369550108,GD,UNWT-0.5TO0.0,INBM-,0.07425981,-0.04658854,INDUSTRIALS
CANADA GOOSE HOLDINGS INC,BFA835000,GOOS.TO,OVWT0.0TO0.5,OUTBM,0.07070569,0.00151826,CONSUMER DISCRETIONARY
ENTERGY CORP,29364G103,ETR,UNWT-0.5TO0.0,NEGBET,0.06873748,-0.0663803,UTILITIES
CSL LIMITED,186993226,*CSL,OVWT0.0TO0.5,OUTBM,0.06845675,0.01072845,HEALTH CARE
HILTON INC,43300A104,HLT,OVWT0.0TO0.5,OUTBM,0.06588154,0.01805455,CONSUMER DISCRETIONARY
BED BATH & BEYOND INC,075896100,BBBY,UNWT-0.5TO0.0,NEGBET,0.06507291,-0.02930739,CONSUMER DISCRETIONARY
SERVICENOW INC,81762P102,NOW,OVWT0.0TO0.5,OUTBM,0.06366436,0.12254585,INFORMATION TECHNOLOGY
ANADARKO PETROLEUM CORP,032511107,APC,UNWT-0.5TO0.0,INBM-,0.06576153,-0.05147973,ENERGY
MID AMERICA APT CMNTY INC,59522J103,MAA,UNWT-0.5TO0.0,NEGBET,0.06175588,-0.05626583,REAL ESTATE
MAHINDRA & MAHINDRA LTD(DEMAT),559999263,*MMLD,OVWT0.0TO0.5,OUTBM,0.06126769,0.07896903,CONSUMER DISCRETIONARY
DIGITAL REALTY TRUST INC,253868103,DLR,UNWT-0.5TO0.0,NEGBET,0.06107463,-0.08204257,REAL ESTATE
XL GROUP LTD,AHG601000,XL,UNWT-0.5TO0.0,NEGBET,0.06095431,-0.052833,FINANCIALS
GAP INC,364760108,GPS,UNWT-0.5TO0.0,NEGBET,0.06040558,-0.02585452,CONSUMER DISCRETIONARY
RAYMOND JAMES FINANCIAL INC.,754730109,RJF,UNWT-0.5TO0.0,NEGBET,0.06013999,-0.02071109,FINANCIALS
NATIONAL OILWELL VARCO INC,637071101,NOV,UNWT-0.5TO0.0,NEGBET,0.059626,-0.07279339,ENERGY
CHURCHILL DOWNS INC,171484108,CHDN,OVWT0.0TO0.5,OUTBM,0.05820903,0.01059762,CONSUMER DISCRETIONARY
CAPITEC BANK HOLDINGS LIMITED,04H99Q223,*CPIJ,OVWT0.0TO0.5,OUTBM,0.05919806,0.02437262,FINANCIALS
UNIVERSAL HEALTH SVCS INC CL B,913903100,UHS,UNWT-0.5TO0.0,NEGBET,0.0578405,-0.05399648,HEALTH CARE
FOOT LOCKER INC,344849104,FL,UNWT-0.5TO0.0,INBM-,0.05657335,-0.04929362,CONSUMER DISCRETIONARY
NORTHERN TRUST CORP,665859104,NTRS,UNWT-0.5TO0.0,NEGBET,0.05529226,-0.09244483,FINANCIALS
MCCORMICK & CO INC NON-VTG,579780206,MKC,UNWT-0.5TO0.0,NEGBET,0.05480412,-0.05618996,ONSUMER STAPLES
ESSEX PROPERTY TRUST INC,297178105,ESS,UNWT-0.5TO0.0,NEGBET,0.05375597,-0.07464661,REAL ESTATE
MSC INDUSTRIAL DIRECT CO CL A,553530106,MSM,OVWT0.0TO0.5,OUTBM,0.05150692,0.0252691,INDUSTRIALS
CENTURYLINK INC,156700106,CTL,UNWT-0.5TO0.0,NEGBET,0.04976324,-0.062344,TELECOMMUNICATION SERVICES
MEDIDATA SOLUTIONS INC,58471A105,MDSO,OVWT0.0TO0.5,OUTBM,0.04872895,0.0160678,HEALTH CARE
RELX PLC,759530926,*REDLS,OVWT0.0TO0.5,OUTBM,0.04820616,0.01012192,INDUSTRIALS
BORGWARNER INC,099724106,BWA,UNWT-0.5TO0.0,NEGBET,0.0448514,-0.04149322,CONSUMER DISCRETIONARY
PINTEREST INC 8% PC G P/P,62S99A257,PNT+GPP,OVWT0.0TO0.5,OUTBM,0.04394717,0.03386433,INFORMATION TECHNOLOGY
OVASCIENCE INC,69014Q101,OVAS,OVWT0.0TO0.5,OUTBM,0.0434259,0.00178173,HEALTH CARE
HARMAN INTL IND INC NEW,413086109,HAR,UNWT-0.5TO0.0,NEGBET,0.0432714,-0.01820448,CONSUMER DISCRETIONARY
S&P GLOBAL INC,580645109,SPGI,OVWT0.0TO0.5,INBM+,0.04167066,0.05447374,FINANCIALS
VISTEON CORP,92839U206,VC,OVWT0.0TO0.5,OUTBM,0.04245141,0.00777919,CONSUMER DISCRETIONARY
JUNIPER NETWORKS INC,48203R104,JNPR,UNWT-0.5TO0.0,NEGBET,0.03902909,-0.05251004,INFORMATION TECHNOLOGY
ROSS STORES INC,778296103,ROST,UNWT-0.5TO0.0,INBM-,0.04146697,-0.0110489,CONSUMER DISCRETIONARY
PERFORMANCE FOOD GROUP CO,71377A103,PFGC,OVWT0.0TO0.5,OUTBM,0.03692706,0.04960134,ONSUMER STAPLES
UDR INC,902653104,UDR,UNWT-0.5TO0.0,NEGBET,0.03670293,-0.04728843,REAL ESTATE
LOEWS CORP,540424108,L,UNWT-0.5TO0.0,NEGBET,0.0362259,-0.063768,FINANCIALS
NATIONAL BEVERAGE CORPORATION,635017106,FIZZ,OVWT0.0TO0.5,OUTBM,0.03580917,0.00147011,ONSUMER STAPLES
HUNT J B TRANSPORT SERVICES IN,445658107,JBHT,UNWT-0.5TO0.0,INBM-,0.03702239,-0.00968998,INDUSTRIALS
PINTEREST INC 8% PC F P/P,62S99A240,PNT+F.PP,OVWT0.0TO0.5,OUTBM,0.03530793,0.0272072,INFORMATION TECHNOLOGY
STAPLES INC,855030102,SPLS,UNWT-0.5TO0.0,NEGBET,0.0352668,-0.02795596,CONSUMER DISCRETIONARY
RIGHTMOVE PLC,18K99B222,*RGHTG,OVWT0.0TO0.5,OUTBM,0.03322827,0.02446763,INFORMATION TECHNOLOGY
EUROFINS SCIENTIFIC SE,30599A226,*ESFC,OVWT0.0TO0.5,OUTBM,0.0331162,0.01930883,HEALTH CARE
COMPUTER SCIENCES CORP,205363104,CSC,OVWT0.0TO0.5,OUTBM,0.03116386,0.10225171,INFORMATION TECHNOLOGY
FREEPORT MCMORAN INC,35671D857,FCX,UNWT-0.5TO0.0,NEGBET,0.03242743,-0.08354543,MATERIALS
FLIR SYSTEMS INC,302445101,FLIR,UNWT-0.5TO0.0,NEGBET,0.03190271,-0.02437783,INFORMATION TECHNOLOGY
PRA HEALTH SCIENCES INC,69354M108,PRAH,OVWT0.0TO0.5,OUTBM,0.0312088,0.00200168,HEALTH CARE
US FOODS HOLDING CORP,AFD584000,USFD,OVWT0.0TO0.5,OUTBM,0.03036404,0.02074357,ONSUMER STAPLES
WATERS CORP,941848103,WAT,OVWT0.0TO0.5,INBM+,0.02990684,0.04129543,HEALTH CARE
ECHOSTAR CORP CL A,278768106,SATS,OVWT0.0TO0.5,OUTBM,0.02925537,0.0043684,INFORMATION TECHNOLOGY
INGERSOLL RAND PLC,54699X225,IR,OVWT0.0TO0.5,INBM+,0.02690904,0.00961771,INDUSTRIALS
RATIONAL AG,76499N222,*RATL,OVWT0.0TO0.5,OUTBM,0.02833764,0.0177965,INDUSTRIALS
F5 NETWORKS INC,315616102,FFIV,UNWT-0.5TO0.0,NEGBET,0.02738151,-0.04641822,INFORMATION TECHNOLOGY
DEERE & CO,244199105,DE,UNWT-0.5TO0.0,INBM-,0.02701957,-0.04583909,INDUSTRIALS
AMERICAN WATER WRKS COMPANY,030420103,AWK,UNWT-0.5TO0.0,NEGBET,0.02667507,-0.06715765,UTILITIES
MATTEL INC,577081102,MAT,UNWT-0.5TO0.0,NEGBET,0.02512365,-0.0426143,CONSUMER DISCRETIONARY
PACCAR INC,693718108,PCAR,OVWT0.0TO0.5,INBM+,0.02545049,0.04789957,INDUSTRIALS
TORCHMARK CORP,891027104,TMK,UNWT-0.5TO0.0,NEGBET,0.02341125,-0.04199274,FINANCIALS
NISOURCE INC,65473P105,NI,UNWT-0.5TO0.0,NEGBET,0.02279135,-0.03745878,UTILITIES
GENERAL MOTORS CO,37045V100,GM,UNWT-0.5TO0.0,INBM-,0.02648177,-0.00575959,CONSUMER DISCRETIONARY
CINCINNATI FINANCIAL CORP,172062101,CINF,UNWT-0.5TO0.0,NEGBET,0.02106846,-0.05408974,FINANCIALS
RYDER SYSTEM INC,783549108,R,UNWT-0.5TO0.0,NEGBET,0.02106373,-0.01974148,INDUSTRIALS
IRON MOUNTAIN INC,46284V101,IRM,UNWT-0.5TO0.0,NEGBET,0.02031439,-0.04229422,REAL ESTATE
CELANESE CORP SER A,150870103,CE,OVWT0.0TO0.5,OUTBM,0.0202532,0.03118243,MATERIALS
XEROX CORP,984121103,XRX,UNWT-0.5TO0.0,NEGBET,0.01928671,-0.03070135,INFORMATION TECHNOLOGY
DANAHER CORP,235851102,DHR,OVWT0.0TO0.5,INBM+,0.01968898,0.09725247,HEALTH CARE
QUANTA SVCS INC,74762E102,PWR,UNWT-0.5TO0.0,NEGBET,0.01914902,-0.02757504,INDUSTRIALS
PRIMERICA INC,74164M108,PRI,OVWT0.0TO0.5,OUTBM,0.0189829,0.01127746,FINANCIALS
TAKEAWAY.COM HOLDING BV,AJD553000,*TAKEAWY,OVWT0.0TO0.5,OUTBM,0.01807865,0.0262383,INFORMATION TECHNOLOGY
KIMBERLY CLARK CORP,494368103,KMB,UNWT-0.5TO0.0,NEGBET,0.01685751,-0.23394983,ONSUMER STAPLES
VULCAN MATERIALS CO,929160109,VMC,UNWT-0.5TO0.0,NEGBET,0.0167635,-0.07651861,MATERIALS
23ANDME SER E PC PP,75P99S238,AM+EPP,OVWT0.0TO0.5,OUTBM,0.01658505,0.00614625,HEALTH CARE
EOG RESOURCES INC,26875P101,EOG,OVWT0.0TO0.5,INBM+,0.00333812,0.47727726,ENERGY
FIRST QUANTUM MINERALS INC,335934105,FM.TO,OVWT0.0TO0.5,OUTBM,0.01554619,0.00778639,MATERIALS
SNAP-ON INCORPORATED,833034101,SNA,UNWT-0.5TO0.0,INBM-,0.01550267,-0.02174711,INDUSTRIALS
PROGRESSIVE CORP OHIO,743315103,PGR,UNWT-0.5TO0.0,NEGBET,0.0140789,-0.11324922,FINANCIALS
LEVEL 3 COMMUNICATIONS INC,52729N308,LVLT,UNWT-0.5TO0.0,NEGBET,0.01348354,-0.08119317,TELECOMMUNICATION SERVICES
PATTERSON COMPANIES INC,703395103,PDCO,UNWT-0.5TO0.0,NEGBET,0.01126441,-0.01830913,HEALTH CARE
WASTE MANAGEMENT INC,94106L109,WM,UNWT-0.5TO0.0,NEGBET,0.0112458,-0.14523965,INDUSTRIALS
NORDSTROM INC,655664100,JWN,UNWT-0.5TO0.0,NEGBET,0.01076265,-0.02504013,CONSUMER DISCRETIONARY
ILLINOIS TOOL WORKS INC,452308109,ITW,OVWT0.0TO0.5,INBM+,0.01043348,0.02921716,INDUSTRIALS
ROYAL BANK OF CANADA,780087102,RY.TO,OVWT0.0TO0.5,OUTBM,0.00935141,0.04929269,FINANCIALS
MEDTRONIC PLC,75U999226,MDT,UNWT-1.0TO-0.5,NEGBET,0.00868475,-0.55092626,HEALTH CARE
AVERY DENNISON CORP,053611109,AVY,UNWT-0.5TO0.0,NEGBET,0.00864127,-0.035194,MATERIALS
ARTHUR J GALLAGHAR AND CO,363576109,AJG,UNWT-0.5TO0.0,NEGBET,0.00824368,-0.04966074,FINANCIALS
INPHI CORP,45772F107,IPHI,OVWT0.0TO0.5,OUTBM,0.00801608,0.00021377,INFORMATION TECHNOLOGY
RINGCENTRAL INC CL A,76680R206,RNG,OVWT0.0TO0.5,OUTBM,0.00646819,0.00009834,INFORMATION TECHNOLOGY
GLOBAL PAYMENTS INC,37940X102,GPN,OVWT0.0TO0.5,INBM+,0.00522316,0.01029046,INFORMATION TECHNOLOGY
INTERPUBLIC GROUP OF COS INC,460690100,IPG,OVWT0.0TO0.5,INBM+,0.00513077,0.00804718,CONSUMER DISCRETIONARY
ASSOCIATED BRITISH FOODS PLC,045519105,*ABF,OVWT0.0TO0.5,OUTBM,0.00451464,0.08734965,ONSUMER STAPLES
NETAPP INC,64110D104,NTAP,UNWT-0.5TO0.0,NEGBET,0.00431092,-0.05628387,INFORMATION TECHNOLOGY
MEGACABLE HLDGS (CPO),17E997238,*MEGACPO,OVWT0.0TO0.5,OUTBM,0.00401895,0.00036251,CONSUMER DISCRETIONARY
ANALOG DEVICES INC,032654105,ADI,UNWT-0.5TO0.0,INBM-,0.00395345,-0.05195138,INFORMATION TECHNOLOGY
STERICYCLE INC,858912108,SRCL,UNWT-0.5TO0.0,NEGBET,0.00364706,-0.03429852,INDUSTRIALS
HANDY TECHNOLOGIES SER C PC PP,78C99N237,HND+CPP,OVWT0.0TO0.5,OUTBM,0.00350148,0.01091214,CONSUMER DISCRETIONARY
AFLAC INC,001055102,AFL,UNWT-0.5TO0.0,NEGBET,0.00352328,-0.14361791,FINANCIALS
CHURCH & DWIGHT CO INC,171340102,CHD,UNWT-0.5TO0.0,NEGBET,0.0034297,-0.06316026,ONSUMER STAPLES
GARMIN LTD,37199T224,GRMN,UNWT-0.5TO0.0,NEGBET,0.00326747,-0.02921287,CONSUMER DISCRETIONARY
TE CONNECTIVITY LTD,15D99X228,TEL,UNWT-0.5TO0.0,NEGBET,0.00223504,-0.13090765,INFORMATION TECHNOLOGY
TRION WORLD NET CPIK 15% 10/19,20B99NAA5,%TRION15,OVWT0.0TO0.5,OUTBM,0.00164196,0.00076123,INFORMATION TECHNOLOGY
CLOUDFLARE INC PC SER D PP,71P99K234,CLD+D.PP,OVWT0.0TO0.5,OUTBM,0.00145045,0.02142675,INFORMATION TECHNOLOGY
TERADATA CORP,88076W103,TDC,UNWT-0.5TO0.0,NEGBET,0.00069058,-0.01982409,INFORMATION TECHNOLOGY
ZOETIS INC CL A,98978V103,ZTS,UNWT-0.5TO0.0,NEGBET,0.00059981,-0.13007617,HEALTH CARE
CONT LP HOLDINGS LLC,37Y99B227,CONTLP,,,0,,CONSUMER DISCRETIONARY
TRION WORLD NETWORK INC,20B99N,TRION.PP,OVWT0.0TO0.5,OUTBM,-0.00000001,0.00000005,INFORMATION TECHNOLOGY
AQUA BOUNTY TECHNOLOGIES INC,05Y999237,AQB,OVWT0.0TO0.5,OUTBM,-0.00000837,0.00000071,HEALTH CARE
KAR AUCTION SERVICES INC,48238T109,KAR,,,-0.00000861,,INDUSTRIALS
PARK HOTELS & RESORTS INC,BCE349000,PK,OVWT0.0TO0.5,OUTBM,-0.00025517,0.00010156,REAL ESTATE
WCH HOLDCO INC P/P,03W99K221,WCH.PP,OVWT0.0TO0.5,OUTBM,-0.0003416,0.00159623,CONSUMER DISCRETIONARY
KRAFT HEINZ CO,500754106,KHC,UNWT-0.5TO0.0,INBM-,0.00134583,-0.00211708,ONSUMER STAPLES
SODASTREAM INTERNATIONAL LTD,39D99K226,SODA,OVWT0.0TO0.5,OUTBM,-0.00057985,0.00073237,CONSUMER DISCRETIONARY
AUTODESK INC,052769106,ADSK,OVWT0.0TO0.5,INBM+,-0.00075894,0.01114211,INFORMATION TECHNOLOGY
ASAC II LP UNIT PP,62D99B228,ASAC.PP,OVWT0.0TO0.5,OUTBM,-0.00072918,0.00612724,INFORMATION TECHNOLOGY
PEYTO EXPL & DEV CORP NEW,717046106,PEY.TO,OVWT0.0TO0.5,OUTBM,-0.00090012,0.00101721,ENERGY
